epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5822,1.94671,1.73892,1.76352,0.90705,0.78899,0.86529,0.45526,1.61215,0.93215,1.5333,0.0670265,3.30065e-05,3.30065e-05
2,63.3163,1.5344,0.91574,1.5107,0.8783,0.92697,0.96232,0.52576,1.41727,0.7337,1.40907,0.0337265,6.63327e-05,6.63327e-05
3,92.152,1.3584,0.81061,1.37602,0.93763,0.96552,0.98688,0.60607,1.26722,0.64799,1.2674,0.000426427,9.96299e-05,9.96299e-05
4,120.947,1.30778,0.81689,1.34694,0.92072,0.99083,0.97252,0.62717,1.19187,0.68097,1.24692,9.99023e-05,9.99023e-05,9.99023e-05
5,150.182,1.26775,0.8167,1.34184,0.94769,0.9633,0.97824,0.63489,1.16454,0.64431,1.22571,9.98264e-05,9.98264e-05,9.98264e-05
6,179.171,1.20206,0.7895,1.28551,0.97185,0.95022,0.98412,0.63121,1.16565,0.63968,1.21038,9.97288e-05,9.97288e-05,9.97288e-05
7,207.378,1.18416,0.71162,1.27963,0.95907,0.99083,0.9825,0.66677,1.13184,0.55986,1.19496,9.96097e-05,9.96097e-05,9.96097e-05
8,236.496,1.14204,0.67568,1.24529,0.97727,0.99083,0.99046,0.70671,1.03278,0.50635,1.1416,9.9469e-05,9.9469e-05,9.9469e-05
9,265.529,1.15267,0.65619,1.25546,0.97436,0.99083,0.98819,0.69645,1.05092,0.54618,1.13965,9.93068e-05,9.93068e-05,9.93068e-05
10,293.986,1.13496,0.66748,1.24705,0.97241,0.97,0.98891,0.71932,1.00261,0.53712,1.17701,9.91232e-05,9.91232e-05,9.91232e-05
11,323.099,1.14007,0.67844,1.24689,0.98016,1,0.98639,0.69243,0.98178,0.55524,1.13061,9.89183e-05,9.89183e-05,9.89183e-05
12,351.603,1.10852,0.67627,1.23527,0.98163,0.98067,0.98317,0.70343,0.97709,0.53733,1.13196,9.86922e-05,9.86922e-05,9.86922e-05
13,379.95,1.09,0.66565,1.23551,0.97307,0.9946,0.98658,0.73026,0.93022,0.50114,1.10916,9.84449e-05,9.84449e-05,9.84449e-05
14,409.445,1.08751,0.62829,1.23553,0.97383,0.95413,0.98817,0.69244,1.04304,0.54888,1.17964,9.81765e-05,9.81765e-05,9.81765e-05
15,437.381,1.06672,0.62158,1.21711,0.97033,0.98165,0.98991,0.72569,0.94769,0.48191,1.12649,9.78873e-05,9.78873e-05,9.78873e-05
16,465.31,1.03322,0.62799,1.19748,0.9474,1,0.9876,0.73452,0.86584,0.52332,1.08058,9.75773e-05,9.75773e-05,9.75773e-05
17,494.137,1.03742,0.60069,1.20709,0.96663,1,0.9904,0.73704,0.90027,0.47425,1.10809,9.72466e-05,9.72466e-05,9.72466e-05
18,523.22,1.06967,0.61909,1.2032,0.93921,0.97248,0.97958,0.73388,0.95085,0.52356,1.12242,9.68955e-05,9.68955e-05,9.68955e-05
19,551.153,1.04456,0.59095,1.19771,0.97314,0.99711,0.97691,0.72974,0.96254,0.46948,1.12271,9.65239e-05,9.65239e-05,9.65239e-05
20,579.018,1.07145,0.60306,1.22895,0.96912,1,0.98483,0.75611,0.8448,0.46711,1.04623,9.61322e-05,9.61322e-05,9.61322e-05
21,607.753,1.01068,0.5676,1.18329,0.96417,0.98747,0.98418,0.72158,1.00083,0.48883,1.19291,9.57205e-05,9.57205e-05,9.57205e-05
22,636.599,1.02602,0.58949,1.18497,0.94818,0.99083,0.98621,0.77279,0.82377,0.46659,1.03504,9.52889e-05,9.52889e-05,9.52889e-05
23,666.436,0.98636,0.56109,1.17503,0.97334,1,0.99099,0.77831,0.84378,0.43254,1.10995,9.48377e-05,9.48377e-05,9.48377e-05
24,695.264,1.009,0.54738,1.17939,0.96421,0.98865,0.98663,0.72487,0.94488,0.46746,1.11283,9.43671e-05,9.43671e-05,9.43671e-05
25,723.585,0.98836,0.55204,1.15387,0.97172,1,0.98248,0.75078,0.82628,0.45331,1.01209,9.38772e-05,9.38772e-05,9.38772e-05
26,751.516,0.97599,0.54136,1.17366,0.97321,0.99977,0.98372,0.76201,0.90776,0.44071,1.08699,9.33683e-05,9.33683e-05,9.33683e-05
27,779.751,0.97245,0.53772,1.16647,0.96329,1,0.9751,0.75804,0.83713,0.42353,1.0807,9.28405e-05,9.28405e-05,9.28405e-05
28,807.769,0.92481,0.53428,1.13799,0.97319,0.99911,0.97597,0.75057,0.80183,0.42993,1.05435,9.22942e-05,9.22942e-05,9.22942e-05
29,836.057,0.97883,0.54304,1.15159,0.96422,1,0.97928,0.75589,0.85017,0.45751,1.07726,9.17296e-05,9.17296e-05,9.17296e-05
30,864.054,0.92887,0.5173,1.12503,0.97288,1,0.98001,0.77949,0.77792,0.41222,1.01845,9.11469e-05,9.11469e-05,9.11469e-05
31,892.872,0.94352,0.51416,1.15132,0.97034,1,0.98055,0.76027,0.82223,0.44335,1.0377,9.05463e-05,9.05463e-05,9.05463e-05
32,921.091,0.89988,0.48593,1.11657,0.97998,1,0.97993,0.77866,0.83507,0.41471,1.07073,8.99282e-05,8.99282e-05,8.99282e-05
33,949.266,0.91667,0.4795,1.12953,0.97725,1,0.98551,0.77989,0.81949,0.39789,1.04102,8.92928e-05,8.92928e-05,8.92928e-05
34,977.835,0.92417,0.49639,1.12606,0.97263,1,0.99107,0.79191,0.77535,0.39932,1.00601,8.86404e-05,8.86404e-05,8.86404e-05
