epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5642,2.16034,2.49507,2.10255,0.78202,0.42791,0.61595,0.2829,1.83757,2.11239,1.87262,0.0670265,3.30065e-05,3.30065e-05
2,61.1912,1.71928,1.29628,1.72503,0.84766,0.30634,0.52727,0.25157,1.76265,2.75516,1.85572,0.0337265,6.63327e-05,6.63327e-05
3,89.9477,1.52633,1.01228,1.58509,0.73522,0.42202,0.58637,0.28913,1.68172,2.26196,1.8339,0.000426427,9.96299e-05,9.96299e-05
4,119.784,1.492,0.97308,1.54194,0.85185,0.42201,0.55979,0.27345,1.69977,2.35402,1.8097,9.99023e-05,9.99023e-05,9.99023e-05
5,148.139,1.4431,0.93485,1.51769,0.76488,0.53723,0.65562,0.33933,1.71209,1.92362,1.84116,9.98264e-05,9.98264e-05,9.98264e-05
6,177.743,1.31711,0.83636,1.40935,0.73639,0.51376,0.60618,0.31132,1.73315,2.32732,1.7933,9.97288e-05,9.97288e-05,9.97288e-05
7,206.384,1.25394,0.79587,1.38249,0.94945,0.52294,0.74429,0.41403,1.48373,2.19034,1.61562,9.96097e-05,9.96097e-05,9.96097e-05
8,235.725,1.25845,0.77173,1.37818,0.81182,0.58716,0.74762,0.41686,1.41298,1.82697,1.58161,9.9469e-05,9.9469e-05,9.9469e-05
9,265.337,1.18626,0.72075,1.33184,0.77284,0.50459,0.6799,0.37805,1.52831,2.20853,1.69256,9.93068e-05,9.93068e-05,9.93068e-05
10,294.118,1.18255,0.69112,1.31177,0.84839,0.50459,0.67097,0.40772,1.42909,2.26625,1.53,9.91232e-05,9.91232e-05,9.91232e-05
11,323.188,1.17948,0.70363,1.31715,0.89393,0.43119,0.6645,0.40282,1.4353,2.55734,1.57624,9.89183e-05,9.89183e-05,9.89183e-05
12,352.788,1.19942,0.72224,1.31785,0.39552,0.48624,0.5163,0.31959,1.49208,3.09235,1.63524,9.86922e-05,9.86922e-05,9.86922e-05
13,381.244,1.1629,0.69441,1.30441,0.67045,0.54128,0.6533,0.44353,1.39471,3.06375,1.60392,9.84449e-05,9.84449e-05,9.84449e-05
14,410.816,1.11951,0.67138,1.26953,0.72727,0.29358,0.54198,0.40767,1.44525,3.90776,1.62466,9.81765e-05,9.81765e-05,9.81765e-05
15,439.614,1.09167,0.62292,1.25086,0.78689,0.44037,0.64453,0.46324,1.38341,3.40179,1.57334,9.78873e-05,9.78873e-05,9.78873e-05
16,470.156,1.10389,0.65214,1.2683,0.46825,0.54128,0.577,0.36124,1.46168,3.21588,1.64961,9.75773e-05,9.75773e-05,9.75773e-05
17,498.862,1.03804,0.6194,1.21846,0.4058,0.51376,0.51875,0.32368,1.45903,3.28458,1.63514,9.72466e-05,9.72466e-05,9.72466e-05
18,528.096,1.09174,0.6156,1.23651,0.625,0.59633,0.67691,0.46287,1.31085,3.01439,1.5382,9.68955e-05,9.68955e-05,9.68955e-05
19,558.142,1.04826,0.61272,1.22336,0.62766,0.54128,0.64029,0.43759,1.41105,3.24012,1.62146,9.65239e-05,9.65239e-05,9.65239e-05
20,587.423,1.1075,0.62972,1.27931,0.52239,0.3211,0.48709,0.34622,1.50402,4.0216,1.69883,9.61322e-05,9.61322e-05,9.61322e-05
21,616.486,1.04115,0.57408,1.22533,0.83333,0.27523,0.56997,0.40895,1.48506,4.39677,1.67952,9.57205e-05,9.57205e-05,9.57205e-05
22,645.904,1.07736,0.60849,1.23706,0.84848,0.25688,0.55655,0.35517,1.56084,4.44373,1.76051,9.52889e-05,9.52889e-05,9.52889e-05
23,675.071,1.04665,0.58642,1.24248,0.63636,0.3211,0.52732,0.3455,1.59672,4.02542,1.67732,9.48377e-05,9.48377e-05,9.48377e-05
24,705.316,1.0259,0.56587,1.22136,1,0.33688,0.55382,0.35349,1.44633,3.28661,1.55506,9.43671e-05,9.43671e-05,9.43671e-05
25,734.185,1.0365,0.58748,1.20856,0.85491,0.54057,0.73043,0.51141,1.26849,2.19117,1.44756,9.38772e-05,9.38772e-05,9.38772e-05
26,765.033,0.98938,0.55781,1.18647,0.79167,0.34862,0.59602,0.43631,1.46145,3.95487,1.6207,9.33683e-05,9.33683e-05,9.33683e-05
27,793.709,0.96571,0.54191,1.18747,0.7069,0.37615,0.57329,0.38138,1.5876,3.73775,1.7156,9.28405e-05,9.28405e-05,9.28405e-05
28,822.467,0.97515,0.52999,1.18678,0.76316,0.26606,0.53763,0.36302,1.59943,4.24362,1.76142,9.22942e-05,9.22942e-05,9.22942e-05
29,852.174,0.97057,0.54343,1.18181,0.83333,0.22936,0.54819,0.35554,1.62968,4.6295,1.77908,9.17296e-05,9.17296e-05,9.17296e-05
30,880.924,0.9986,0.52506,1.19224,0.74627,0.45872,0.64593,0.46309,1.37764,3.39068,1.52275,9.11469e-05,9.11469e-05,9.11469e-05
31,909.784,0.9824,0.53769,1.19191,0.60909,0.61468,0.68803,0.4904,1.20902,2.59886,1.36655,9.05463e-05,9.05463e-05,9.05463e-05
32,938.478,0.93981,0.51388,1.15663,0.78462,0.46789,0.65402,0.47825,1.32616,3.45876,1.47072,8.99282e-05,8.99282e-05,8.99282e-05
33,966.939,0.9705,0.51234,1.17439,0.7973,0.54128,0.70403,0.51272,1.30983,3.0737,1.41331,8.92928e-05,8.92928e-05,8.92928e-05
34,996.237,0.92371,0.50783,1.15213,0.7093,0.55963,0.70646,0.49435,1.34607,2.65166,1.4408,8.86404e-05,8.86404e-05,8.86404e-05
35,1024.94,0.94034,0.50545,1.16287,0.73196,0.65138,0.7549,0.47424,1.44064,2.39594,1.60123,8.79713e-05,8.79713e-05,8.79713e-05
36,1053.48,0.90404,0.49485,1.1454,0.8169,0.53211,0.70623,0.46067,1.47545,3.03849,1.59547,8.72857e-05,8.72857e-05,8.72857e-05
37,1081.91,0.9162,0.49968,1.13235,0.79798,0.72477,0.80731,0.49908,1.38982,2.0301,1.59372,8.65839e-05,8.65839e-05,8.65839e-05
38,1110.31,0.90179,0.49159,1.1344,0.85057,0.6789,0.7998,0.53323,1.29822,2.13962,1.48397,8.58664e-05,8.58664e-05,8.58664e-05
